Predicted Optimal Feature Sets,Actual Observed Accuracy,Percent Increase over Full Feature Set
"set(['261:269', '1:25', '26:48', '270:645'])",0.768898488,0.25795052883287356
"set(['270:645', '1:25', '26:48'])",0.760259179,0.24381625298903717
"set(['261:269', '1:25', '270:645'])",0.753779698,0.23321554733319189
"set(['270:645', '26:48'])",0.75161987,0.22968197714520097
"set(['270:645', '1:25'])",0.749460043,0.2261484085932526
"set(['261:269', '26:48', '270:645'])",0.747300216,0.22261484004130405
"set(['270:645', '1:25', '26:48', '49:260'])",0.742980562,0.21554770293740713
"set(['261:269', '1:25', '26:48', '49:260', '270:645'])",0.742980562,0.21554770293740713
"set(['261:269', '270:645'])",0.738660907,0.20848056419746783
set(['270:645']),0.73650108,0.20494699564551946
"set(['261:269', '26:48', '49:260', '270:645'])",0.734341253,0.2014134270935709
"set(['270:645', '26:48', '49:260'])",0.732181425,0.1978798569055802
"set(['261:269', '1:25', '49:260', '270:645'])",0.732181425,0.1978798569055802
"set(['270:645', '49:260'])",0.721382289,0.18021201250979543
"set(['261:269', '49:260', '270:645'])",0.721382289,0.18021201250979543
"set(['270:645', '1:25', '49:260'])",0.714902808,0.16961130685394996
