Predicted Optimal Feature Sets,Actual Observed Accuracy,Percent Increase over Full Feature Set
"set(['261:269', '1:25', '26:48', '270:645'])",0.788336933,0.20065789467171266
"set(['270:645', '1:25'])",0.788336933,0.20065789467171266
"set(['270:645', '1:25', '49:260'])",0.786177106,0.1973684213131493
"set(['270:645', '1:25', '26:48', '49:260'])",0.779697624,0.18749999971443257
"set(['261:269', '1:25', '26:48', '49:260', '270:645'])",0.779697624,0.18749999971443257
"set(['261:269', '1:25', '49:260', '270:645'])",0.777537797,0.1842105263558692
"set(['261:269', '49:260', '270:645'])",0.77537797,0.18092105299730565
"set(['270:645', '26:48', '49:260'])",0.773218143,0.1776315796387423
"set(['261:269', '26:48', '49:260', '270:645'])",0.773218143,0.1776315796387423
"set(['270:645', '49:260'])",0.773218143,0.1776315796387423
