Predicted Optimal Feature Sets,Actual Observed Accuracy,Percent Increase over Full Feature Set
"set(['261:269', '1:25', '270:645'])",0.758099352,0.20205479526991457
"set(['270:645', '1:25'])",0.742980562,0.17808219330127592
"set(['261:269', '1:25', '26:48', '270:645'])",0.73650108,0.16780822012293584
"set(['261:269', '1:25', '49:260', '270:645'])",0.725701944,0.15068493254944637
"set(['261:269', '1:25', '26:48', '49:260', '270:645'])",0.723542117,0.14726027535187186
"set(['270:645', '1:25', '26:48', '49:260'])",0.721382289,0.14383561656868077
"set(['261:269', '26:48', '270:645'])",0.717062635,0.13698630217353158
"set(['270:645', '1:25', '49:260'])",0.717062635,0.13698630217353158
"set(['270:645', '26:48', '49:260'])",0.714902808,0.1335616449759569
"set(['261:269', '49:260', '270:645'])",0.712742981,0.1301369877783824
"set(['270:645', '49:260'])",0.710583153,0.1267123289951913
"set(['261:269', '26:48', '49:260', '270:645'])",0.708423326,0.12328767179761681
