Predicted Optimal Feature Sets,Actual Observed Accuracy,Percent Increase over Full Feature Set
"set(['270:645', '26:48'])",0.822894168,0.14414414381846724
"set(['261:269', '26:48', '270:645'])",0.822894168,0.14414414381846724
"set(['270:645', '1:25', '26:48'])",0.818574514,0.13813813840536043
"set(['261:269', '1:25', '26:48', '270:645'])",0.818574514,0.13813813840536043
set(['270:645']),0.816414687,0.13513513569880695
"set(['261:269', '270:645'])",0.816414687,0.13513513569880695
"set(['261:269', '1:25', '270:645'])",0.812095032,0.12912912889530978
"set(['270:645', '1:25'])",0.809935205,0.12612612618875646
"set(['270:645', '49:260'])",0.796976242,0.10810810855904553
"set(['261:269', '49:260', '270:645'])",0.792656587,0.10210210175554837
"set(['270:645', '1:25', '26:48', '49:260'])",0.792656587,0.10210210175554837
"set(['261:269', '26:48', '49:260', '270:645'])",0.79049676,0.09909909904899504
"set(['270:645', '1:25', '49:260'])",0.79049676,0.09909909904899504
"set(['261:269', '1:25', '49:260', '270:645'])",0.79049676,0.09909909904899504
"set(['261:269', '1:25', '26:48', '49:260', '270:645'])",0.79049676,0.09909909904899504
"set(['270:645', '26:48', '49:260'])",0.788336933,0.09609609634244157
